last_name,first_name,type,state,party
Finkenauer,Abby,rep,IA,Democrat
Axne,Cynthia,rep,IA,Democrat
Fulcher,Russ,rep,ID,Republican
García,Jesús,rep,IL,Democrat
Casten,Sean,rep,IL,Democrat
Underwood,Lauren,rep,IL,Democrat
Baird,James,rep,IN,Republican
Pence,Greg,rep,IN,Republican
Watkins,Steven,rep,KS,Republican
Davids,Sharice,rep,KS,Democrat
Trahan,Lori,rep,MA,Democrat
Pressley,Ayanna,rep,MA,Democrat
Trone,David,rep,MD,Democrat
Slotkin,Elissa,rep,MI,Democrat
Levin,Andy,rep,MI,Democrat
Stevens,Haley,rep,MI,Democrat
Tlaib,Rashida,rep,MI,Democrat
Hagedorn,Jim,rep,MN,Republican
Craig,Angie,rep,MN,Democrat
Phillips,Dean,rep,MN,Democrat
Omar,Ilhan,rep,MN,Democrat
Stauber,Pete,rep,MN,Republican
Guest,Michael,rep,MS,Republican
Armstrong,Kelly,rep,ND,Republican
Pappas,Chris,rep,NH,Democrat
Van Drew,Jefferson,rep,NJ,Democrat
Kim,Andy,rep,NJ,Democrat
Malinowski,Tom,rep,NJ,Democrat
Sherrill,Mikie,rep,NJ,Democrat
Haaland,Debra,rep,NM,Democrat
Torres Small,Xochitl,rep,NM,Democrat
Lee,Susie,rep,NV,Democrat
Rose,Max,rep,NY,Democrat
Ocasio-Cortez,Alexandria,rep,NY,Democrat
Delgado,Antonio,rep,NY,Democrat
Brindisi,Anthony,rep,NY,Democrat
Gonzalez,Anthony,rep,OH,Republican
Horn,Kendra,rep,OK,Democrat
Dean,Madeleine,rep,PA,Democrat
Houlahan,Chrissy,rep,PA,Democrat
Meuser,Daniel,rep,PA,Republican
Joyce,John,rep,PA,Republican
Reschenthaler,Guy,rep,PA,Republican
Cunningham,Joe,rep,SC,Democrat
Timmons,William,rep,SC,Republican
Johnson,Dusty,rep,SD,Republican
Burchett,Tim,rep,TN,Republican
Rose,John,rep,TN,Republican
Green,Mark,rep,TN,Republican
Crenshaw,Dan,rep,TX,Republican
Taylor,Van,rep,TX,Republican
Gooden,Lance,rep,TX,Republican
Wright,Ron,rep,TX,Republican
Fletcher,Lizzie,rep,TX,Democrat
Escobar,Veronica,rep,TX,Democrat
Roy,Chip,rep,TX,Republican
Garcia,Sylvia,rep,TX,Democrat
Allred,Colin,rep,TX,Democrat
McAdams,Ben,rep,UT,Democrat
Luria,Elaine,rep,VA,Democrat
Riggleman,Denver,rep,VA,Republican
Cline,Ben,rep,VA,Republican
Spanberger,Abigail,rep,VA,Democrat
Wexton,Jennifer,rep,VA,Democrat
